Cluster-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG-based Person Verification Using Multi-Sphere SVDD and UBM.txt,1,0.7671156125,0.8665947141,0.8746984301,0.8274386556,0.7405783511,0.9210242084,0.8863029108,0.8756438877,0.8409974445,0.8670451367,0.7679962011,0.7997045868,0.7689990066,0.8775976326,0.8793775368,0.8409055275,0.8395141567,0.738510231,0.746973288,0.7960056978,0.813103653,0.8070594726,0.779936453,0.7688374752,0.8435734402,0.8763939023,0.8342952921,0.8672317467,0.6960120033,0.7787075191,0.896820154,0.8639791419,0.8432308661,0.9158743956,0.9185718234,0.8427910251,0.8478063732,0.845776068,0.8499714931,0.8740354253,0.8822202627,0.8673842693,0.8222747873,0.7605970713,0.9081472762,0.7269104153,0.8335122139,0.798668669,0.7721130137,0.8324542509,0.9051189629,0.840766079,0.8697335083,0.8317470614,0.8684822152,0.820498298,0.8459411128,0.8091923407,0.7308545549,0.8481480555,0.8661845863,0.8585040138,0.8675644886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequential Entity Group Topic Model for Getting Topic Flows of Entity Groups Within One Document.txt,0.7671156125,1,0.8369097958,0.7362242555,0.8956871016,0.694519804,0.8277710329,0.8709371428,0.7982842587,0.7934408406,0.8657549641,0.7746984256,0.7275376426,0.6002023238,0.7932347564,0.8567964875,0.7615989797,0.8087710484,0.879589467,0.6184881756,0.6964725688,0.6796008299,0.7123359406,0.791124339,0.637417359,0.6822823866,0.7537666065,0.7041631283,0.8004213357,0.5856196853,0.8672020386,0.8137545554,0.7620436106,0.8342703743,0.8355105716,0.8031243988,0.7419798489,0.8627822483,0.8046714558,0.7779284388,0.811891248,0.888154013,0.7976317119,0.9631092863,0.7248847812,0.7611479122,0.7129065897,0.7149000749,0.7164020784,0.6259225072,0.7225131771,0.7655611703,0.8017030867,0.731884481,0.7737320148,0.7800967557,0.7023441171,0.7334018786,0.7791427399,0.6753834595,0.7735475648,0.7687597625,0.8762020697,0.7984547995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intervention-Driven Predictive Framework for Modeling Healthcare Data.txt,0.8665947141,0.8369097958,1,0.829936736,0.8944920133,0.8335762888,0.9350279772,0.8576592097,0.8871733196,0.8554956606,0.9336722399,0.8645708544,0.87281514,0.7415926575,0.8798667249,0.9102826941,0.8877527453,0.8104409844,0.8645643042,0.7989710433,0.8077926278,0.7747402013,0.8157793979,0.8366428399,0.8127447199,0.8176366332,0.8763893227,0.8579230666,0.9069779647,0.7072139424,0.8562301618,0.9169395019,0.90343479,0.8772467704,0.9226687944,0.9228496451,0.819618173,0.9137582217,0.9127127058,0.9023884543,0.8955623582,0.8941163151,0.8944243589,0.8956147362,0.8018258065,0.9230954863,0.7575302105,0.8802740376,0.8337488604,0.7370078462,0.8529699306,0.9054995133,0.8483062543,0.8631744197,0.8754137925,0.8900425817,0.8100074776,0.9075091204,0.8824624487,0.7382197365,0.9321556438,0.897535862,0.9096176358,0.8615424233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inducing controlled error over variable length ranked lists.txt,0.8746984301,0.7362242555,0.829936736,1,0.862320342,0.7413997974,0.8992633582,0.7989231248,0.9068027544,0.873133726,0.8986593092,0.8494491838,0.7621680815,0.7586676724,0.9206191039,0.871372172,0.9058475953,0.8128731689,0.7221235306,0.7524049968,0.8588111685,0.8336195907,0.8252702541,0.8507124364,0.8746380801,0.8467704189,0.8806863895,0.8809987947,0.8804707116,0.7761402696,0.8332766878,0.8867298735,0.862355173,0.8210102675,0.8828308076,0.898432514,0.7998224828,0.8508898034,0.8892537805,0.8829103893,0.8680378803,0.8886492679,0.8765051467,0.8035285751,0.8214471924,0.9044102483,0.7686569571,0.8977717354,0.8549207594,0.7830719499,0.8412265942,0.871685044,0.9227747515,0.9150575116,0.8904315183,0.8945346692,0.8922233173,0.8623341357,0.8740091216,0.7266412155,0.8718425536,0.9173398927,0.8723865435,0.853713466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finding Better Topics – Features Priors and Constraints.txt,0.8274386556,0.8956871016,0.8944920133,0.862320342,1,0.7067614683,0.8864884106,0.8484467005,0.8811860989,0.9080158486,0.9579244908,0.8848101753,0.7612755442,0.633154759,0.9158514567,0.9038057741,0.916886927,0.8746838027,0.8540951836,0.718675558,0.8303914804,0.7731809946,0.8155615122,0.9033123088,0.7944548427,0.8183320959,0.8525913418,0.8382201403,0.8702403432,0.700382433,0.9452873128,0.8595754781,0.851773329,0.858870742,0.8805586225,0.8908520381,0.7734305628,0.9343513353,0.8745118545,0.8957708662,0.8568029531,0.9579169598,0.8763633705,0.9442467502,0.837073008,0.8917918273,0.8078186826,0.8880462621,0.8573405482,0.7268378454,0.7759146486,0.8563882131,0.892321652,0.896962587,0.8796130377,0.8777562769,0.841658827,0.8417045231,0.8451949558,0.7060571127,0.8660971058,0.8675376599,0.9532110603,0.8750175155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeamSkill Evolved  Mixed Classification Schemes for Team-Based Multi-Player Games.txt,0.7405783511,0.694519804,0.8335762888,0.7413997974,0.7067614683,1,0.7995532511,0.761917066,0.794461675,0.7163007366,0.7735772721,0.811979502,0.934833207,0.8133586969,0.7630934215,0.7223780527,0.7662630068,0.6883810297,0.7009341307,0.7173927549,0.7061536607,0.7808609739,0.7439066821,0.7287427036,0.7436584421,0.8059136064,0.7764386587,0.7636588215,0.8176126498,0.5867233524,0.6981914269,0.8260820085,0.8566383015,0.7223792918,0.772568783,0.7790378376,0.6920533105,0.8007596195,0.822986169,0.8336390341,0.8597268004,0.7307040621,0.7303026576,0.7147389183,0.714281431,0.818164551,0.7537867412,0.7937400091,0.7680758019,0.7320720551,0.8183817232,0.769383954,0.7335370291,0.6884730247,0.7598965889,0.8059500376,0.7629779055,0.8177139555,0.8164810588,0.6959931909,0.8287865529,0.8092328043,0.7664954815,0.6966280582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discovering Semantics from Multiple Correlated Time Series.txt,0.9210242084,0.8277710329,0.9350279772,0.8992633582,0.8864884106,0.7995532511,1,0.8670261218,0.9205181778,0.8731966164,0.9347247513,0.8272929464,0.8409863957,0.7921225097,0.9017024857,0.9229452296,0.9043490912,0.8328545679,0.8348823511,0.7667108083,0.7884193679,0.8421510983,0.8217084554,0.8415488209,0.8059594452,0.8556326264,0.887776233,0.9032470069,0.8982472101,0.7321538239,0.8694388104,0.9520021392,0.8970864632,0.8860830094,0.9480301491,0.9599128043,0.8709007373,0.8945785268,0.9130583453,0.9239948016,0.9199852782,0.9123423142,0.929941663,0.8942310839,0.8257992573,0.9369446373,0.7771092752,0.8855269924,0.8641745497,0.8161371236,0.870942742,0.9109402417,0.8883893653,0.8859135279,0.8907026922,0.9151053381,0.852152382,0.9063191665,0.8738045909,0.7126710382,0.9096002097,0.9039330071,0.9244485819,0.9005484477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Named entity recognition and identification for finding the owner of a home page.txt,0.8863029108,0.8709371428,0.8576592097,0.7989231248,0.8484467005,0.761917066,0.8670261218,1,0.8447570344,0.802608399,0.8514463131,0.7864163092,0.7932106718,0.754997228,0.8626984254,0.852884131,0.7930310337,0.8021132099,0.7683157985,0.7611977124,0.7995447144,0.7799652094,0.7601659305,0.7952552891,0.6902334431,0.7885794713,0.8003283074,0.7880694873,0.8261978539,0.6337828261,0.8123557703,0.8904072361,0.8275269947,0.8376562608,0.8823967691,0.8816294123,0.8229998967,0.8204995651,0.8270728866,0.8324461032,0.8651596047,0.8671761875,0.8390934141,0.8635008635,0.7344492732,0.8716265139,0.7491106056,0.7566067521,0.8030404273,0.713925064,0.7797343235,0.8613760701,0.8104462698,0.8006127427,0.8200517577,0.8283164671,0.8049173945,0.8263316026,0.8215496516,0.7767375566,0.8474269904,0.8197314177,0.8425779546,0.8415319194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mining Specific Features for Acquiring User Information Needs.txt,0.8756438877,0.7982842587,0.8871733196,0.9068027544,0.8811860989,0.794461675,0.9205181778,0.8447570344,1,0.8969908528,0.9076772816,0.8674459732,0.8224895551,0.7620536141,0.9274037956,0.8842275094,0.9100959684,0.8331269329,0.7735144815,0.7205130143,0.8715656747,0.8162952233,0.8090263359,0.8794868174,0.820745152,0.8698032246,0.8976970839,0.8715346517,0.8847324766,0.7321544852,0.9016469576,0.936301332,0.8883693537,0.8433130292,0.8922692936,0.9158569719,0.8612278127,0.8947087805,0.8945019145,0.9168577824,0.8764323876,0.9058682798,0.8713347211,0.8416908782,0.8225173001,0.925867797,0.7687870215,0.8920276952,0.8873996602,0.7374156315,0.8710933145,0.8902495125,0.8799394479,0.87958347,0.9387751537,0.9332995331,0.8632058831,0.8848805084,0.875266498,0.7171447381,0.9047563206,0.8817839858,0.9099842329,0.8692520192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocabulary Filtering for Term Weighting in Archived Question Search.txt,0.8409974445,0.7934408406,0.8554956606,0.873133726,0.9080158486,0.7163007366,0.8731966164,0.802608399,0.8969908528,1,0.8997384093,0.8520842434,0.7719656541,0.6660186899,0.9046663374,0.8826738351,0.897038084,0.8166038527,0.7807359113,0.7447861578,0.8205425572,0.7769511386,0.7902953874,0.8947885608,0.8304930696,0.8536594819,0.9222114903,0.8244818431,0.8542497885,0.7493633967,0.8770061959,0.8427184692,0.8463618041,0.8618572768,0.8547669274,0.8694346623,0.7554649605,0.8834858267,0.8611186743,0.8987879236,0.8238569306,0.9143184367,0.8216149374,0.8648756426,0.9025858299,0.8915734903,0.8032481938,0.8842633785,0.8461911828,0.7249995453,0.7894325098,0.8517849555,0.8427911959,0.8645834179,0.8432669405,0.8492084815,0.8814707135,0.8505770904,0.8008405097,0.6807109493,0.8629213215,0.8624786915,0.9316287789,0.8499545739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
