Cluster-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resource-bounded Information Extraction Acquiring Missing Feature Values On Demand.txt,1,0.9378493501,0.8041894677,0.8863200538,0.8714931953,0.9451383877,0.7454117916,0.8918523267,0.9175664665,0.9115055513,0.9025357475,0.8627348591,0.8567695546,0.9383856219,0.761442163,0.9228817751,0.9275638471,0.9259410141,0.9063144547,0.8005777429,0.8810593678,0.7855811227,0.8862368582,0.9534458439,0.8618423659,0.7455225106,0.8433045295,0.9223243822,0.8339513624,0.9368908426,0.9230507823,0.9259235798,0.8890217398,0.9217949921,0.9085980059,0.9115789482,0.937224474,0.9333512337,0.9443406222,0.8955405624,0.8281808338,0.9367861266,0.8689187766,0.9229216941,0.9016866322,0.8551552165,0.8950509367,0.869723741,0.9282505823,0.949044286,0.9067208753,0.8920761031,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clustering and Understanding Documents via Discrimination Information Maximization.txt,0.9378493501,1,0.7341853717,0.9151894474,0.7930310337,0.9513599424,0.6674514676,0.897038084,0.860688725,0.891525677,0.9175389577,0.8400320772,0.8647458927,0.9037769661,0.7615989797,0.9270491429,0.9461239994,0.9100959684,0.9248250499,0.7827890645,0.8755942461,0.7709366096,0.8824925805,0.9138979797,0.7971821599,0.7949105676,0.8297989602,0.8867864485,0.8518344872,0.9085388624,0.9253856866,0.9277436247,0.8601892194,0.8863612066,0.8706091577,0.8833337045,0.9043490912,0.8994154705,0.8922049451,0.8801415169,0.8495893881,0.8927206713,0.8662997537,0.892602852,0.8887912687,0.794582403,0.8668330056,0.8984828706,0.9272918214,0.9248986144,0.9131071789,0.916886927,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mining Biomedical Literature and Ontologies for Drug Repositioning Discovery.txt,0.8041894677,0.7341853717,1,0.6803524285,0.667776784,0.769195896,0.6307315053,0.7408002835,0.7229706841,0.786849075,0.6686887929,0.7271646522,0.708152608,0.8165360805,0.5499052491,0.8022355709,0.7482221605,0.7500467052,0.703940588,0.6267386348,0.7054726425,0.6916485076,0.7074194791,0.7540687554,0.706297986,0.5841808255,0.6297694656,0.7575603289,0.638454911,0.761319727,0.7589978163,0.747306294,0.7180368829,0.7533175767,0.7394274457,0.7735901421,0.7419247283,0.8050763148,0.8240028121,0.6837498564,0.7058437444,0.7907961583,0.6974359291,0.7421437314,0.7637736429,0.7284622739,0.7697543555,0.6808021169,0.741063035,0.7790689147,0.6664524213,0.6472826436,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supervising Latent Topic Model for Maximum-Margin Text Classification and Regression.txt,0.8863200538,0.9151894474,0.6803524285,1,0.8204995651,0.8863837312,0.6721408386,0.8834858267,0.8740005062,0.8630849241,0.861847622,0.8034827079,0.8629366447,0.8473288728,0.8627822483,0.8690440325,0.9371878832,0.8947087805,0.9435312958,0.8110737808,0.8585480672,0.666834476,0.9046132192,0.8969504059,0.8067441235,0.8746743855,0.8712427525,0.9137612302,0.9122493893,0.8769755227,0.8966682194,0.9117641222,0.8527458506,0.8693948971,0.8483517637,0.8296007595,0.8945785268,0.8720643787,0.8461465341,0.8674173505,0.8111309368,0.8809189875,0.8623100486,0.8600634944,0.9298755401,0.7803834754,0.836475233,0.9150517266,0.8985108166,0.8562109911,0.9198280764,0.9343513353,,,,,,,,,,,,,,,,,,,,,,,,,,,
Named entity recognition and identification for finding the owner of a home page.txt,0.8714931953,0.7930310337,0.667776784,0.8204995651,1,0.8626984254,0.7752593481,0.802608399,0.8651596047,0.8003283074,0.8098326762,0.7986092472,0.7864163092,0.8436635863,0.8709371428,0.8017459035,0.8517885371,0.8447570344,0.8429994758,0.7503329938,0.7952552891,0.6317580661,0.852884131,0.8816294123,0.7799652094,0.7683157985,0.8029677461,0.8580460435,0.8635008635,0.8283164671,0.8200517577,0.7580652924,0.8371064315,0.8613760701,0.7857841524,0.8030404273,0.8670261218,0.8275269947,0.8263316026,0.8415319194,0.7344492732,0.8329709172,0.7842124539,0.8390934141,0.8253953323,0.8233705894,0.8049173945,0.8123557703,0.8324461032,0.7986752272,0.8671761875,0.8484467005,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text Document Topical Recursive Clustering and Automatic Labeling of a Hierarchy of Document Clusters.txt,0.9451383877,0.9513599424,0.769195896,0.8863837312,0.8626984254,1,0.7573502444,0.9046663374,0.8775046682,0.8998481632,0.9020745302,0.8818982011,0.8840238086,0.9118337842,0.7932347564,0.906749902,0.9454401931,0.9274037956,0.9123699003,0.7739274626,0.893628799,0.7642939887,0.8992051284,0.9274946638,0.8263469103,0.7695209886,0.8661779485,0.8792213328,0.856763439,0.9272569851,0.9202821961,0.8948732563,0.8584218468,0.9179986558,0.8826913054,0.9181366174,0.9017024857,0.9002385058,0.9041867142,0.9196926564,0.8299414046,0.8936047147,0.8419710011,0.8842390367,0.8974722928,0.8426830786,0.8940413691,0.8817999214,0.9129820465,0.8915152198,0.9236209399,0.9158514567,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automatic Identification of Protagonist in Fairy Tales using Verb.txt,0.7454117916,0.6674514676,0.6307315053,0.6721408386,0.7752593481,0.7573502444,1,0.6777585099,0.778608722,0.7093198045,0.7127932414,0.7699838426,0.6910064183,0.7188583959,0.6735390191,0.684136831,0.7308068704,0.7138951419,0.6691228796,0.6452615158,0.6406122895,0.6632791015,0.7010458755,0.7380053578,0.737747254,0.6478948212,0.6805541627,0.7352685778,0.6845497481,0.7577972069,0.7261408208,0.6746891557,0.7683540488,0.7636353604,0.7260035619,0.7555922863,0.7093094077,0.7313826487,0.7131007585,0.6948994727,0.6281568369,0.7008231262,0.6768634177,0.6974378289,0.6756198246,0.7325345502,0.6754997581,0.644545499,0.7303153908,0.7024416718,0.7294906863,0.7031230228,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocabulary Filtering for Term Weighting in Archived Question Search.txt,0.8918523267,0.897038084,0.7408002835,0.8834858267,0.802608399,0.9046663374,0.6777585099,1,0.8238569306,0.9222114903,0.8409417567,0.819129675,0.8520842434,0.860126146,0.7934408406,0.8614925322,0.8991636051,0.8969908528,0.9320815351,0.8037651074,0.8947885608,0.7463205997,0.8826738351,0.8694346623,0.7769511386,0.7807359113,0.8169618647,0.854935071,0.8648756426,0.8492084815,0.8432669405,0.8853573818,0.8589672716,0.8517849555,0.8502580024,0.8461911828,0.8731966164,0.8463618041,0.8505770904,0.8499545739,0.9025858299,0.8255441999,0.8142443325,0.8216149374,0.8613171344,0.7562577664,0.8814707135,0.8770061959,0.8987879236,0.819144182,0.9143184367,0.9080158486,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quad-tuple PLSA  Incorporating Entity and Its Rating in Aspect Identification.txt,0.9175664665,0.860688725,0.7229706841,0.8740005062,0.8651596047,0.8775046682,0.778608722,0.8238569306,1,0.8433464287,0.8879293063,0.7883650063,0.85541771,0.8824810848,0.811891248,0.8424224551,0.8926466704,0.8764323876,0.8877939081,0.7991850337,0.8250553127,0.7773931402,0.8770595388,0.8901781496,0.8890092593,0.8016473528,0.879952052,0.8951150859,0.8587059542,0.9056571864,0.8727136766,0.8671357384,0.871360989,0.9042627038,0.8714841824,0.8555342956,0.9199852782,0.9209256032,0.9269388319,0.862366668,0.7864435128,0.9016239496,0.8571248414,0.8528320188,0.9012431679,0.881996054,0.8564928747,0.8165760193,0.8985678435,0.8951089574,0.8789684759,0.8568029531,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Term Association Translation Model for Naive Bayes Text Classification.txt,0.9115055513,0.891525677,0.786849075,0.8630849241,0.8003283074,0.8998481632,0.7093198045,0.9222114903,0.8433464287,1,0.8382963841,0.8293175843,0.8502132543,0.8951275303,0.7537666065,0.9061860292,0.8906774578,0.8976970839,0.9118114463,0.7841556166,0.8598244352,0.8125804619,0.9074016431,0.8788563888,0.7843338611,0.7441401843,0.8306724248,0.8754661666,0.8368500244,0.8716131567,0.8618273664,0.8644933631,0.882413718,0.9004582849,0.8438602356,0.8307403665,0.887776233,0.9077397283,0.8680837834,0.8576283606,0.9241179694,0.8764937061,0.8185953617,0.8528527263,0.8653758365,0.8205408075,0.8350083352,0.8151569605,0.9082041313,0.8603933941,0.8681097474,0.8525913418,,,,,,,,,,,,,,,,,,,,,,,,,,,
